,GOOG_predicted
0,2578.0
1,2526.0
2,2517.0
3,2527.0
4,2468.0
5,2418.0
6,2358.0
7,2304.0
8,2251.0
9,2211.0
10,2177.0
11,2186.0
12,2139.0
13,2096.0
14,2054.0
15,2021.0
16,2004.0
17,2039.0
18,2069.0
19,2088.0
20,2067.0
21,2058.0
22,2087.0
23,2106.0
24,2080.0
25,2105.0
26,2093.0
27,2116.0
28,2076.0
29,2053.0
30,2085.0
31,2126.0
32,2154.0
33,2182.0
34,2197.0
35,2171.0
36,2200.0
37,2215.0
38,2197.0
39,2214.0
40,2190.0
41,2229.0
42,2262.0
43,2257.0
44,2281.0
45,2252.0
46,2283.0
47,2271.0
48,2272.0
49,2227.0
50,2197.0
51,2172.0
52,2190.0
53,2165.0
54,2146.0
55,2149.0
56,2127.0
57,2172.0
58,2203.0
59,2246.0
60,2295.0
61,2329.0
62,2367.0
63,2383.0
64,2328.0
65,2275.0
66,2254.0
67,2258.0
68,2314.0
69,2361.0
70,2406.0
71,2456.0
72,2481.0
73,2444.0
74,2439.0
75,2378.0
76,2350.0
77,2391.0
78,2430.0
79,2473.0
80,2542.0
81,2609.0
82,2671.0
83,2731.0
84,2778.0
85,2831.0
86,2864.0
87,2863.0
88,2912.0
89,2933.0
90,2900.0
91,2940.0
92,2948.0
93,2922.0
94,2991.0
95,3050.0
96,3083.0
97,3030.0
98,2994.0
99,2974.0
100,2982.0
101,2945.0
102,2907.0
103,2916.0
104,2897.0
105,2929.0
106,2886.0
107,2850.0
108,2845.0
109,2905.0
110,2972.0
111,3018.0
112,3011.0
113,3064.0
114,3089.0
115,3051.0
116,3042.0
117,3093.0
118,3147.0
119,3209.0
120,3236.0
121,3200.0
122,3145.0
123,3082.0
124,3059.0
125,3091.0
126,3050.0
127,3033.0
128,3035.0
129,2959.0
130,2896.0
131,2836.0
132,2828.0
133,2865.0
134,2861.0
135,2787.0
136,2730.0
137,2696.0
138,2723.0
139,2678.0
140,2628.0
141,2559.0
142,2505.0
143,2490.0
144,2513.0
145,2473.0
146,2462.0
147,2473.0
148,2450.0
149,2437.0
150,2456.0
151,2420.0
152,2431.0
153,2401.0
154,2429.0
155,2383.0
156,2372.0
157,2385.0
158,2379.0
159,2427.0
160,2456.0
161,2405.0
162,2348.0
163,2308.0
164,2278.0
165,2241.0
166,2250.0
167,2220.0
168,2231.0
169,2189.0
170,2163.0
171,2165.0
172,2123.0
173,2100.0
174,2124.0
175,2118.0
176,2141.0
177,2119.0
178,2155.0
179,2202.0
180,2235.0
181,2216.0
182,2222.0
183,2192.0
184,2149.0
185,2109.0
186,2062.0
187,2028.0
188,1990.0
189,1975.0
190,1975.0
191,2019.0
192,2054.0
193,2091.0
194,2129.0
195,2146.0
196,2116.0
197,2143.0
198,2170.0
199,2145.0
200,2160.0
201,2138.0
202,2177.0
203,2213.0
204,2250.0
205,2306.0
206,2351.0
207,2384.0
208,2358.0
209,2334.0
210,2334.0
211,2278.0
212,2233.0
213,2210.0
214,2210.0
215,2251.0
216,2285.0
217,2308.0
218,2279.0
219,2312.0
220,2364.0
221,2411.0
222,2432.0
223,2396.0
224,2424.0
225,2450.0
226,2419.0
227,2387.0
228,2365.0
229,2367.0
230,2317.0
231,2271.0
232,2253.0
233,2262.0
234,2243.0
235,2269.0
236,2280.0
237,2227.0
238,2180.0
239,2144.0
240,2117.0
241,2108.0
242,2133.0
243,2123.0
244,2150.0
245,2181.0
246,2212.0
247,2257.0
248,2271.0
249,2273.0
250,2325.0
251,2345.0
252,2311.0
253,2280.0
254,2315.0
255,2334.0
256,2285.0
257,2233.0
258,2182.0
259,2153.0
260,2173.0
261,2140.0
262,2134.0
263,2159.0
264,2159.0
265,2117.0
266,2104.0
267,2140.0
268,2194.0
269,2244.0
270,2269.0
271,2226.0
272,2188.0
273,2163.0
274,2175.0
275,2166.0
276,2187.0
277,2198.0
278,2162.0
279,2128.0
280,2074.0
281,2027.0
282,2000.0
283,1987.0
284,2029.0
285,2053.0
286,2049.0
287,2085.0
288,2108.0
289,2091.0
290,2118.0
291,2141.0
292,2167.0
293,2153.0
294,2178.0
295,2150.0
